addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,area_name,relaAcdntRiskMtr,acmpyTypeCd,relaPosesFclty,relaFrnshPrdlst,etcAcmpyInfo,relaPurcPrdlst,acmpyPsblCpam,relaRntlPrdlst,acmpyNeedMtr,indoor_possible,outdoor_possible,homepage,opertime,data_source,province,gu_name,content_type_name
서울특별시 동대문구 서울시립대로25길 10 (전농동),B101호,1,B02,B0201,B02011100,3438659,32,20241206132405,,,,127.0522138438,37.5827620188,6,20241218152408,11,,그루브하우스,02557,11,230,AC,AC06,AC060200,서울,,전구역 동반가능,,,,,시각 장애인 안내견,,목줄 착용,,,,,TourAPI,서울,동대문구,숙박
서울특별시 중구 퇴계로34길 28 (필동2가),,1,A02,A0201,A02010600,126747,12,20040216090000,http://tong.visitkorea.or.kr/cms/resource/94/2932494_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/94/2932494_image3_1.bmp,Type3,126.9932865315,37.5597775194,6,20250708170501,24,,남산골한옥마을,04626,11,140,HS,HS01,HS010600,서울,,일부구역 동반가능,,,"- 가옥 안쪽은 동반 불가
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,중구,관광지
서울특별시 중구 남산공원길 609 (예장동),,1,A01,A0101,A01010500,2783557,12,20211130201410,http://tong.visitkorea.or.kr/cms/resource/60/3458860_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/3458860_image3_1.jpg,Type1,126.9866844934,37.5549112997,6,20250721093644,24,,남산순환나들길,04628,11,140,NA,NA05,NA050100,서울,,일부구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,중구,관광지
서울특별시 용산구 양녕로 445 (이촌동),,1,A02,A0203,A02030400,2638475,12,20191125183515,,,,126.9580520415,37.5177178854,6,20250307094735,21,,노들섬,04427,11,170,VE,VE12,VE120300,서울,,전구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,용산구,관광지
서울특별시 영등포구 대림동,1050-43,1,A02,A0203,A02030600,2402981,12,20160820023653,http://tong.visitkorea.or.kr/cms/resource/92/3526892_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3526892_image3_1.jpg,Type1,126.8975138236,37.4924530714,6,20250827165120,20,,대림동 차이나타운,07416,11,560,VE,VE04,VE040100,서울,,일부구역 동반가능,,,"- 매장별 정책이 상이하므로 개별 문의 필요
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,영등포구,관광지
서울특별시 서초구 남부순환로328길 49 (서초동),,1,A02,A0201,A02010800,300076,12,20071128223420,http://tong.visitkorea.or.kr/cms/resource/09/3540509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3540509_image3_1.jpg,Type1,127.0134731649,37.4763181306,6,20250918100119,15,,대성사(서울),06757,11,650,HS,HS03,HS030100,서울,,일부구역 동반가능,,,"- 법당 등 실내 시설은 동반 불가
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,서초구,관광지
서울특별시 중구 을지로 281 (을지로7가),,1,A02,A0204,A02040800,2470006,12,20161228221826,http://tong.visitkorea.or.kr/cms/resource/06/3539606_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/3539606_image3_1.jpg,Type1,127.0095709797,37.5661076320,6,20250917144442,24,,동대문디자인플라자(DDP),04566,11,140,EX,EX06,EX061000,서울,,일부구역 동반가능,,,"- 안내견 제외 이동장 또는 이동가방으로만 실내 동반 가능 (*전시·행사 종류에 따라 변동 가능성 有) 
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수
- 목줄 1m 이내 길이로 필수",,전 견종 동반 가능,,"목줄 착용,이동장(켄넬)사용",,,,,TourAPI,서울,중구,관광지
서울특별시 중구 을지로 281 (을지로7가),,1,A02,A0202,A02020700,1906334,12,20140319021307,http://tong.visitkorea.or.kr/cms/resource/37/3566337_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/3566337_image3_1.jpg,Type1,127.0095709797,37.5661076320,6,20251113135916,24,,동대문역사문화공원,04566,11,140,VE,VE03,VE030500,서울,,일부구역 동반가능,,종합안내소에서 배변봉투 무료지급(1견 1매 제한),"- 맹견의 경우, 입마개 착용 필수
- 안내견 제외 이동장 또는 이동가방으로만 실내 동반 가능 (*전시·행사 종류에 따라 변동 가능성 有) 
- 야외에선 목줄 길이 1m 필수 
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"목줄 착용,이동장(켄넬)사용",,,,,TourAPI,서울,중구,관광지
서울특별시 중구 퇴계로 67,,1,B02,B0201,B02010100,2586384,32,20190109184205,http://tong.visitkorea.or.kr/cms/resource/20/2821120_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2821120_image3_1.jpg,Type3,126.9795572285,37.5597189467,6,20250514093340,24,,레스케이프 호텔(L’Escape Hotel),04529,11,140,AC,AC01,AC010100,서울,반려견보호자 서약서 서명,일부구역 동반가능,호텔 객실,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,9kg 이하 동반 가능,,목줄 착용,,,,,TourAPI,서울,중구,숙박
서울특별시 강서구 하늘길 지하77 (방화동),,1,A04,A0401,A04010600,1535690,38,20120112224759,,,,126.8015844987,37.5621960337,6,20250328132734,4,,롯데몰 김포공항점,07505,11,500,SH,SH02,SH020100,서울,,일부구역 동반가능,,배변패드,"- 필수예방접종 미완료 시 동반 불가
- 식당가 일부 브랜드만 동반 가능
- 장애인 안내견은 모든 시설 동반 가능",롯데마트 내 펫샵에서 구매 가능,맹견 제외 14kg 이하 동반 가능,"반려동물 유모차, 케이지 대여","반려동물 유모차 탑승,이동장(켄넬)사용",,,,,TourAPI,서울,강서구,쇼핑
서울특별시 송파구 올림픽로 300 (신천동),,1,A02,A0205,A02050600,2003909,12,20150519202147,http://tong.visitkorea.or.kr/cms/resource/94/2938994_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/94/2938994_image3_1.bmp,Type3,127.1040749597,37.5141653654,6,20250414114039,18,,롯데월드타워&롯데월드몰,05551,11,710,VE,VE01,VE010100,서울,,일부구역 동반가능,,,"- 식당, 카페, 일부매장 동반 불가(입장 전 사전 문의 필요)
- 예방 접종이 완료된 반려동물에 한해 동반 가능
- 반려동물을 바닥에 내려놓으면 안됨
- 배변봉투 지참 및 수거 필수",,맹견 및 대형견 제외 동반 가능,,"반려동물 유모차 탑승,이동장(켄넬)사용",,,,,TourAPI,서울,송파구,관광지
서울특별시 강남구 압구정로11길 37-53 (압구정동),"한강시민공원 내 잠원1지구, 리버시티수상스키장",1,A03,A0303,A03030100,767780,28,20090717233206,,,,127.0191711533,37.5291121024,6,20251023143000,1,,리버시티수상스키장,06000,11,680,LS,LS02,LS020100,서울,,일부구역 동반가능,,,,,,,,,,,,TourAPI,서울,강남구,레포츠
서울특별시 중구 퇴계로68길 14 (광희동2가),,1,B02,B0201,B02010700,3103188,32,20240220095105,,,,127.0097710247,37.5638912266,6,20240731105149,24,,리재,04614,11,140,AC,AC03,AC030100,서울,,,,,,,불가,,,,,,,TourAPI,서울,중구,숙박
서울특별시 성동구 왕십리로8길 19-5 (성수동1가),202호,1,B02,B0201,B02011200,3532633,32,20250908105339,,,,127.0468348118,37.5463689287,6,20250921215137,16,,리틀포레한강,04778,11,200,AC,AC03,AC030400,서울,,전구역 동반가능,"배변패드, 비닐",,,,10kg미만의 애견,,자유이용,,,,,TourAPI,서울,성동구,숙박
서울특별시 성동구 성수이로 97 (성수동2가),,1,A05,A0502,A05020900,2938669,39,20221222172823,,,,127.0566034424,37.5436999698,6,20250923173921,16,,맥파이앤타이거 성수티룸,04782,11,200,FD,FD05,FD050200,서울,,일부구역 동반가능,,,"가능 (단, 반려동물 출입을 케이지에 한해서만 허용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)",,,,이동장(켄넬)사용,,,,,TourAPI,서울,성동구,음식점
서울특별시 중구 명동2가,,1,A02,A0203,A02030400,264311,12,20021219014622,http://tong.visitkorea.or.kr/cms/resource/96/3548996_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/3548996_image3_1.jpg,Type1,126.9849150050,37.5621520930,6,20251023143000,24,,명동,04536,11,140,EX,EX07,EX070200,서울,,일부구역 동반가능,,,"-거리 내 매장은 개별 정책이 상이하므로 개별 문의 필요
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,중구,관광지
서울특별시 서초구 반포대로 201 (반포동),,1,A02,A0202,A02020700,753981,12,20090617195541,http://tong.visitkorea.or.kr/cms/resource/12/3456312_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/3456312_image3_1.jpg,Type1,127.0045483736,37.4976821568,6,20250807160745,15,,몽마르뜨공원,06579,11,650,VE,VE03,VE030100,서울,,전구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,서초구,관광지
서울특별시 마포구 증산로 87,,1,A02,A0206,A02060200,2553929,14,20180717194839,http://tong.visitkorea.or.kr/cms/resource/67/3340967_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3340967_image3_1.jpg,Type3,126.8951646315,37.5699856862,6,20251027170351,13,,문화비축기지,03914,11,440,VE,VE07,VE070200,서울,,일부구역 동반가능,,,"-  실내는 동반 불가
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용",,,,,TourAPI,서울,마포구,문화시설
서울특별시 용산구 이태원로26길 25-12 (이태원동),,1,B02,B0201,B02011100,3102095,32,20240217123648,,,,126.9939205548,37.5333861525,6,20241205111644,21,,보라보라,04391,11,170,AC,AC06,AC060200,서울,,,,,,,"가능(강아지, 고양이)",,,,,,,TourAPI,서울,용산구,숙박
서울특별시 중랑구 묵동,,1,A01,A0101,A01010400,1115042,12,20101021235034,http://tong.visitkorea.or.kr/cms/resource/23/3573123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3573123_image3_1.jpg,Type1,127.0870155001,37.6083541160,6,20251128103826,25,,봉화산(서울),02031,11,260,NA,NA01,NA010100,서울,,전구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견동 동반 가능,,목줄 착용,,,,,TourAPI,서울,중랑구,관광지
서울특별시 강북구 월계로 173 (번동),,1,A02,A0202,A02020700,822384,12,20091017024859,http://tong.visitkorea.or.kr/cms/resource/44/3540144_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/3540144_image3_1.jpg,Type1,127.0445440464,37.6197242510,6,20251121154524,3,,북서울꿈의숲,01228,11,305,VE,VE03,VE030500,서울,,일부구역 동반가능,강북구 운영 반려견 놀이터(우측 산 내부),,"- 잔디광장 반려견 출입불가
- 청운답원은 동반 불가 
- 맹견 및 대형견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용",,,,,TourAPI,서울,강북구,관광지
서울특별시 종로구 북악산로 267 (평창동),,1,A02,A0202,A02020700,126943,12,20020510090000,http://tong.visitkorea.or.kr/cms/resource/33/2667333_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2667333_image3_1.jpg,Type3,126.9805642714,37.6020279351,6,20250425143725,23,,북악스카이 팔각정,03010,11,110,VE,VE03,VE030100,서울,,일부구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,종로구,관광지
서울특별시 성북구 성북로23길 87 (성북동),,1,A02,A0203,A02030100,2661492,12,20200630023540,http://tong.visitkorea.or.kr/cms/resource/30/3551330_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/3551330_image3_1.jpg,Type1,126.9924967812,37.5927014565,6,20251023143000,17,,북정마을,02879,11,290,VE,VE04,VE040200,서울,,일부구역 동반가능,,,"- 주거지 공간으로 소음 등 보호자 주의 필요
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,성북구,관광지
서울특별시 종로구 북촌로 20-17,(재동),1,B02,B0201,B02011600,2575836,32,20181210230601,http://tong.visitkorea.or.kr/cms/resource/42/2575642_image2_1.PNG,http://tong.visitkorea.or.kr/cms/resource/42/2575642_image2_1.PNG,Type3,126.9856811352,37.5786279695,,20241127144135,23,,북촌 게스트하우스,03059,11,110,AC,AC03,AC030200,서울,,전구역 동반가능,,,,,,,매너벨트 착용,,,,,TourAPI,서울,종로구,숙박
서울특별시 종로구 계동길 37 (계동),,1,A02,A0201,A02010600,126537,12,20021120090000,http://tong.visitkorea.or.kr/cms/resource/04/3304404_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/3304404_image3_1.jpg,Type3,126.9867060298,37.5790529392,6,20251121163955,23,,북촌한옥마을,03059,11,110,HS,HS01,HS010600,서울,,일부구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,종로구,관광지
서울특별시 성북구 성북로 76-11 (성북동),,1,B02,B0201,B02011600,3438431,32,20241206111853,,,,127.0000238388,37.5939097842,6,20241218152846,17,,사월 한옥,02836,11,290,AC,AC03,AC030200,서울,,전구역 동반가능,,,,,시각 장애인 안내견,,,,,,,TourAPI,서울,성북구,숙박
서울특별시 서초구 반포동,,1,A02,A0203,A02030100,1021339,12,20100514014128,http://tong.visitkorea.or.kr/cms/resource/59/3571659_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/3571659_image3_1.jpg,Type1,126.9983156029,37.4978514700,6,20251127134113,15,,서래마을,06593,11,650,VE,VE04,VE040200,서울,,전구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,서초구,관광지
서울특별시 종로구 종로40가길 14,,1,A02,A0203,A02030600,704507,12,20090310214032,http://tong.visitkorea.or.kr/cms/resource/53/2601453_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2601453_image3_1.jpg,Type3,127.0058684191,37.5703487391,6,20250806150056,23,,서울 동대문 닭한마리 골목,03197,11,110,VE,VE04,VE040100,서울,,전구역 동반가능,,,"- 식당 출입 가능 여부는 개별 문의 필수
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,종로구,관광지
서울특별시 송파구 가락로7길 21 (석촌동),,1,A02,A0201,A02010700,127466,12,20030630090000,,,,127.1028642979,37.5022111756,6,20250903183122,18,,서울 석촌동 고분군,05682,11,710,HS,HS01,HS010800,서울,,일부구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,송파구,관광지
서울특별시 중구 한강대로 405,,1,A02,A0202,A02020700,2495561,12,20170609195058,http://tong.visitkorea.or.kr/cms/resource/09/3081409_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3081409_image3_1.jpg,Type3,126.9706609645,37.5545193912,6,20251024101930,24,,서울로 7017,04509,11,170,VE,VE03,VE030100,서울,,전구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,중구,관광지
서울특별시 성동구 자동차시장길 49 (용답동),,1,A02,A0204,A02040800,2553908,12,20180717185713,http://tong.visitkorea.or.kr/cms/resource/08/3486408_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/08/3486408_image3_1.png,Type3,127.0578667897,37.5587371344,6,20250417134311,16,,서울새활용플라자,04807,11,200,EX,EX06,EX061000,서울,,전구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,성동구,관광지
서울특별시 강서구 마곡동로 161 (마곡동),,1,A01,A0101,A01010700,2589349,12,20190124194713,http://tong.visitkorea.or.kr/cms/resource/60/2658460_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2658460_image3_1.jpg,Type3,126.8360144928,37.5692236076,6,20250319185241,4,,서울식물원,07789,11,500,NA,NA04,NA040700,서울,,일부구역 동반가능,,,"- 실내 및 온실주제원은 동반 불가
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,강서구,관광지
서울특별시 종로구 필운대로5가길 29,(누하동),1,B02,B0201,B02011600,2583741,32,20181228192600,,,,126.9675494067,37.5803191143,,20240731100220,23,,서촌영락재,03037,11,110,AC,AC03,AC030200,서울,,,,,"실내반입 불가, 마당에서 방목가능",,가능(대/중/소형 반려견),,,,,,,TourAPI,서울,종로구,숙박
서울특별시 용산구 한강대로23길 55 (한강로3가),,1,A02,A0203,A02030400,1987566,12,20150209185702,http://tong.visitkorea.or.kr/cms/resource/89/3304789_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/89/3304789_image3_1.JPG,Type3,126.9647566449,37.5298249324,6,20251119155922,21,,서해금빛열차,04377,11,170,EX,EX07,EX070200,서울,,일부구역 동반가능,,,"- 케이지 포함 10kg 이하 동반 가능
- 예방접종증명서 소지 필수
- 다른 고객에게 불편을 끼치는 행위가 있다면 중간역에 하차 조치 될 수 있음",,전 견종  동반 가능,,이동장(켄넬)사용,,,,,TourAPI,서울,용산구,관광지
서울특별시 종로구 북촌로 94-14 (가회동),선음재,1,B02,B0201,B02011600,3102210,32,20240217152332,,,,126.9856309563,37.5850966614,6,20241205124230,23,,선음재,03051,11,110,AC,AC03,AC030200,서울,,,,,,,불가,,,,,,,TourAPI,서울,종로구,숙박
서울특별시 성동구 성수이로14길 14,,1,A02,A0203,A02030400,2745594,12,20210915234112,http://tong.visitkorea.or.kr/cms/resource/24/3564924_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/3564924_image3_1.jpg,Type1,127.0568784737,37.5417140944,6,20251118153128,16,,성수연방,04784,11,200,VE,VE12,VE120300,서울,,전구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,성동구,관광지
서울특별시 마포구 마포대로14길 12-17,(공덕동),1,B02,B0201,B02011600,2696312,32,20201210223650,,,,126.9559902624,37.5480393261,,20241126155751,13,,소담스테이,04210,11,440,AC,AC03,AC030200,서울,,전구역 동반가능,,,,,훈련된 소형견,,,,,,,TourAPI,서울,마포구,숙박
서울특별시 강남구 영동대로 513 (삼성동),,1,A04,A0401,A04010600,1984944,38,20150120222803,http://tong.visitkorea.or.kr/cms/resource/55/3081355_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/3081355_image3_1.jpg,Type3,127.0592179950,37.5119175967,6,20250418110656,1,,스타필드 코엑스몰,06164,11,680,SH,SH02,SH020100,서울,,일부구역 동반가능,,,"- 복합문화시설로 반려동물과 함께 보행은 불가
- 이동장(켄넬)을 사용하거나, 목줄과 함께 보호자가 안고 이동 가능",,이동장(켄넬)에 들어가는 전 견종 동반 가능,,"목줄 착용,이동장(켄넬)사용",,,,,TourAPI,서울,강남구,쇼핑
서울특별시 종로구 사직로9길 22 (필운동),,1,A05,A0502,A05020900,2783352,39,20211130184556,http://tong.visitkorea.or.kr/cms/resource/84/2790084_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2790084_image3_1.jpg,Type3,126.9677078075,37.5774250096,6,20251119161425,23,,스태픽스,03027,11,110,FD,FD05,FD050100,서울,,일부구역 동반가능,,,배변봉투 지참 및 배변처리 필수,,맹견 제외 전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,종로구,음식점
서울특별시 광진구 워커힐로 127,,1,A01,A0101,A01010500,742972,12,20090528014758,http://tong.visitkorea.or.kr/cms/resource/35/3499235_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3499235_image3_1.jpg,Type3,127.1012880282,37.5519609256,6,20250619111543,6,,아차산 어울림정원,04965,11,215,NA,NA04,NA040500,서울,,,,,"보호 장구(목줄 등) 및 배설물 처리용기(비닐봉투, 집게 등) 지참",,,,,,,,,TourAPI,서울,광진구,관광지
서울특별시 영등포구 여의동로 330 (여의도동),,1,A02,A0202,A02020700,1059479,12,20100714190336,http://tong.visitkorea.or.kr/cms/resource/89/3544389_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/3544389_image3_1.jpg,Type1,126.9336095794,37.5263997727,6,20251212091131,20,,여의도한강공원,07337,11,560,VE,VE03,VE030100,서울,,전구역 동반가능,,,"- 목줄은 2m 이내로 유지
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,영등포구,관광지
서울특별시 영등포구 신풍로 72-5 (신길동),,1,B02,B0201,B02010700,3104366,32,20240217104358,,,,126.9142454258,37.4998275134,6,20240731093311,20,,오늘스테이,07431,11,560,AC,AC03,AC030100,서울,,일부구역 동반가능,,"식기, 패드, 방석","최대 7kg, 최대 2마리까지 가능",,가능(소형견),,매너벨트 착용,,,,,TourAPI,서울,영등포구,숙박
서울특별시 구로구 고척로21나길 103 (개봉동),,1,A01,A0101,A01010500,2591824,12,20190313233912,http://tong.visitkorea.or.kr/cms/resource/33/3558633_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/3558633_image3_1.jpg,Type1,126.8397382631,37.5020481486,6,20251029162840,7,,온수도시자연공원(잣절공원),08250,11,530,NA,NA04,NA040500,서울,,전구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,구로구,관광지
서울특별시 종로구 와룡공원길 192,,1,A02,A0202,A02020700,1019041,12,20100512005514,http://tong.visitkorea.or.kr/cms/resource/93/1395493_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/1395493_image3_1.jpg,Type3,126.9901581479,37.5912265856,6,20250417092152,23,,와룡공원,03063,11,110,VE,VE03,VE030100,서울,,전구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,종로구,관광지
서울특별시 용산구 서빙고로 185 (용산동6가),,1,A02,A0202,A02020700,126499,12,20041230090000,http://tong.visitkorea.or.kr/cms/resource/49/3507949_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/3507949_image3_1.jpg,Type1,126.9832663463,37.5200458446,6,20250718090000,21,,용산가족공원,04383,11,170,VE,VE03,VE030500,서울,,일부구역 동반가능,반려견 목줄 거치대(공원 내 화장실 앞),,배변봉투 지참 및 배변처리 필수,,전 견종 동반 가능,,"입마개 착용,목줄 착용",,,,,TourAPI,서울,용산구,관광지
서울특별시 용산구 서빙고로 238 (서빙고동),,1,A01,A0101,A01010500,3458416,12,20241223165221,http://tong.visitkorea.or.kr/cms/resource/53/3458353_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/3458353_image3_1.jpg,Type1,126.9900629507,37.5200070821,6,20241224105854,21,,용산공원 부분개방부지,04428,11,170,NA,NA05,NA050100,서울,,전구역 동반가능,,,,,,,,,,,,TourAPI,서울,용산구,관광지
서울특별시 성동구 왕십리로10길 6 (성수동1가),,1,A05,A0502,A05020200,2894951,39,20221103153523,http://tong.visitkorea.or.kr/cms/resource/41/2894941_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2894941_image3_1.jpg,Type3,127.0453238283,37.5467355255,6,20250922100429,16,,유어네이키드치즈,04778,11,200,FD,FD02,FD020300,서울,,일부구역 동반가능,,,,,,,,,,,,TourAPI,서울,성동구,음식점
서울특별시 영등포구 여의동로 280 (여의도동),,1,A02,A0202,A02020800,126701,12,20060705090000,http://tong.visitkorea.or.kr/cms/resource/80/3567180_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/3567180_image3_1.jpg,Type3,126.9390341239,37.5250139197,6,20251114180304,20,,이랜드크루즈(한강유람선),07337,11,560,EX,EX07,EX070100,서울,,일부구역 동반가능,,,이동장(켄넬) 안에 반려동물 몸 전체가 모두 들어가야 동반 가능,,이동장(켄넬)에 들어가는 전 견종 동반 가능,,이동장(켄넬)사용,,,,,TourAPI,서울,영등포구,관광지
,서울시 종로구 익선동,1,A02,A0203,A02030600,2946228,12,20230129225959,http://tong.visitkorea.or.kr/cms/resource/22/2947522_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2947522_image3_1.jpg,Type1,126.9901419773,37.5737675037,6,20241209121807,23,,익선동 한옥거리,,11,110,VE,VE04,VE040100,서울,,일부구역 동반가능,,,"- 각 가게 개별 정책 문의 필요
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,정보없음,관광지
서울특별시 종로구 인사동길 62 (관훈동),,1,A02,A0203,A02030400,264353,12,20021218231629,http://tong.visitkorea.or.kr/cms/resource/03/3412103_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/03/3412103_image3_1.JPG,Type3,126.9835230884,37.5754616322,6,20251127162913,23,,인사동,03146,11,110,EX,EX07,EX070200,서울,,일부구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,종로구,관광지
서울특별시 마포구 월드컵북로6길 84 (동교동),5층,1,B02,B0201,B02011100,3533146,32,20250908222432,,,,126.9226346304,37.5600345566,6,20250922185023,13,,준하우스3,03993,11,440,AC,AC06,AC060200,서울,,일부구역 동반가능,,,,,5kg 이하 숙박가능한 견종,,자유이용,,,,,TourAPI,서울,마포구,숙박
서울특별시 관악구 난곡로10길 10 (신림동),,1,A05,A0502,A05020900,3444152,39,20241213104430,http://tong.visitkorea.or.kr/cms/resource/30/3444230_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/3444230_image3_1.jpg,Type1,126.9201597466,37.4653038508,6,20250729091959,5,,카페 아래로,08860,11,620,FD,FD05,FD050100,서울,,일부구역 동반가능,,,,,보조견 동반 입장 가능. 야외 좌석과 내부 1층만 허용됨.,,목줄 착용,,,,,TourAPI,서울,관악구,음식점
